Symbol,EntryTimestampMarket,ExitTimestampMarket,Shares,EntryPrice,ExitPrice,PnL,TaxReserved,ExitReason,ResultR
IAUX,2025-01-15T09:30:00-05:00,2025-01-16T15:00:00-05:00,2069,0.61045750,0.61731010,14.17802757,4.54836988,ATR_STOP,0.33228514
ALB,2025-01-17T09:45:00-05:00,2025-01-17T14:30:00-05:00,1,96.06199250,98.95233763,2.89034513,1.06942770,ATR_TARGET,1.94989572
STX,2025-01-17T15:30:00-05:00,2025-01-21T09:30:00-05:00,1,97.65318500,99.77511250,2.12192750,0.78511317,TARGET_GAP,2.48375487
SOXL,2025-01-21T09:45:00-05:00,2025-01-21T14:00:00-05:00,3,33.03475750,34.48848781,4.36119093,1.61364064,ATR_TARGET,1.96501014
APPS,2025-01-17T09:45:00-05:00,2025-01-21T14:15:00-05:00,582,2.02151500,2.08666062,37.91475308,14.02845864,ATR_STOP,0.86627080
BE,2025-01-21T14:45:00-05:00,2025-01-22T09:30:00-05:00,47,25.88940250,27.36615100,69.40717953,25.68065643,ATR_TARGET,1.97256371
MVST,2025-01-22T09:30:00-05:00,2025-01-22T09:30:00-05:00,1,2.08156000,2.00165474,-0.07990526,-0.02956495,ATR_STOP,-1.01916215
TWLO,2025-01-22T09:45:00-05:00,2025-01-22T10:00:00-05:00,10,115.14629500,113.39836523,-17.47929767,-6.46734014,ATR_STOP,-1.05118579
ECHO,2025-01-21T14:15:00-05:00,2025-01-22T10:30:00-05:00,3,28.00098500,27.52067543,-1.44092872,-0.53314363,ATR_STOP,-1.04493819
AMD,2025-01-22T11:15:00-05:00,2025-01-22T14:15:00-05:00,1,124.84356250,123.14070463,-1.70285787,-0.63005741,ATR_STOP,-1.05739130
HIVE,2025-01-22T14:30:00-05:00,2025-01-23T09:30:00-05:00,39,3.17738125,3.04771250,-5.05708125,-1.87112006,STOP_GAP,-1.23727334
CLOV,2025-01-22T11:15:00-05:00,2025-01-23T13:15:00-05:00,3,4.29001510,4.51416092,0.67243747,0.24880186,ATR_TARGET,1.97021841
VSAT,2025-01-23T09:30:00-05:00,2025-01-23T15:45:00-05:00,11,10.71803250,11.61090747,9.82162464,3.63400112,ATR_TARGET,1.98066811
SOXL,2025-01-24T09:30:00-05:00,2025-01-24T09:30:00-05:00,3,34.96620500,34.29745566,-2.00624802,-0.74231177,ATR_STOP,-1.04003440
