TimestampMarket,Symbol,Action,Detail,TieKey
2025-01-14T15:45:00-05:00,IAUX,STAGED,Next legitimate symbol 15-minute open.,aab94a8b579ea1a6c3a8ce016734832638dea3a81ad2b73277ba644b0a9529f1
2025-01-14T15:45:00-05:00,STX,STAGED,Next legitimate symbol 15-minute open.,ab27f87187c4c4f7ab7bf48291ae8808eddee79545b02309ae81530b2bd64cc2
2025-01-14T15:45:00-05:00,MU,STAGED,Next legitimate symbol 15-minute open.,b89c9fca6e32220f17fe6ba5c35625f99c5699f41aaa6412ea70e7fe793ce0ea
2025-01-15T09:30:00-05:00,IAUX,FILLED,590 shares at 0.61045750,aab94a8b579ea1a6c3a8ce016734832638dea3a81ad2b73277ba644b0a9529f1
2025-01-15T09:30:00-05:00,STX,REJECTED_OPENING_GAP,2.18268673 ATR,ab27f87187c4c4f7ab7bf48291ae8808eddee79545b02309ae81530b2bd64cc2
2025-01-15T09:30:00-05:00,MU,REJECTED_OPENING_GAP,3.73592710 ATR,b89c9fca6e32220f17fe6ba5c35625f99c5699f41aaa6412ea70e7fe793ce0ea
2025-01-15T09:30:00-05:00,KTOS,STAGED,Next legitimate symbol 15-minute open.,bf14ac63039c8bdb0d21f2f626b2299dc6d53feba70d549e2766109bb8c01273
2025-01-15T09:30:00-05:00,TDUP,STAGED,Next legitimate symbol 15-minute open.,cb1b48bf050bed979c0d516bbc0a326f120c0cdd7a0f356d0d4be875474b8639
2025-01-15T09:30:00-05:00,CLOV,STAGED,Next legitimate symbol 15-minute open.,f0a437302bd4384695276ab23c88bffb22e974772446741f033f8a431a245013
2025-01-15T09:45:00-05:00,KTOS,FILLED,10 shares at 33.57516250,bf14ac63039c8bdb0d21f2f626b2299dc6d53feba70d549e2766109bb8c01273
2025-01-15T09:45:00-05:00,TDUP,FILLED,169 shares at 2.09156750,cb1b48bf050bed979c0d516bbc0a326f120c0cdd7a0f356d0d4be875474b8639
2025-01-15T09:45:00-05:00,CLOV,FILLED,55 shares at 3.88291000,f0a437302bd4384695276ab23c88bffb22e974772446741f033f8a431a245013
