TimestampMarket,Symbol,Action,Detail,TieKey
2024-03-18T15:00:00-04:00,BTE,STAGED,Next legitimate symbol 15-minute open.,f9828573bb8ce3573a165206cce999122f91d7c8d65fc62234941d5c644b02d6
2024-03-18T15:15:00-04:00,BTE,FILLED,154 shares at 3.36752375,f9828573bb8ce3573a165206cce999122f91d7c8d65fc62234941d5c644b02d6
2024-03-19T09:30:00-04:00,BEKE,STAGED,Next legitimate symbol 15-minute open.,fcf8b0dc81b995cbb3d8c61d1f593e48320ba8e0e96d5a57c3682f1a20f54b0f
2024-03-19T09:45:00-04:00,BEKE,FILLED,36 shares at 14.32073250,fcf8b0dc81b995cbb3d8c61d1f593e48320ba8e0e96d5a57c3682f1a20f54b0f
2024-03-20T10:15:00-04:00,CLOV,STAGED,Next legitimate symbol 15-minute open.,75b4402c9ef7098411aab4774c7439d35d4e5244c70158d71f9e3ceb722020ca
2024-03-20T10:30:00-04:00,CLOV,FILLED,615 shares at 0.84573382,75b4402c9ef7098411aab4774c7439d35d4e5244c70158d71f9e3ceb722020ca
2024-03-20T13:00:00-04:00,BTE,STAGED,Next legitimate symbol 15-minute open.,81d3efb3a24c165fc1cdf00cc9ede686fe728ff470153e32a16bb580723c13c0
2024-03-20T13:15:00-04:00,BTE,FILLED,151 shares at 3.47660550,81d3efb3a24c165fc1cdf00cc9ede686fe728ff470153e32a16bb580723c13c0
2024-03-20T14:00:00-04:00,NXE,STAGED,Next legitimate symbol 15-minute open.,1e51252aad9b0f72319bbab5eb7785227dfd6da64e672bb1e76e71286d55de0d
2024-03-20T14:00:00-04:00,APP,STAGED,Next legitimate symbol 15-minute open.,3b4a07758bb2dd3d90941c12f0ca4e69c521b14c4a56aa5a37085fe43fea59e8
2024-03-20T14:00:00-04:00,ACHR,STAGED,Next legitimate symbol 15-minute open.,ddbdeda18c1898d7324add38aff6804b6433a2332e220a7e43c2c8c63d1b2c2f
2024-03-20T14:15:00-04:00,NXE,FILLED,12 shares at 7.46559500,1e51252aad9b0f72319bbab5eb7785227dfd6da64e672bb1e76e71286d55de0d
2024-03-20T14:15:00-04:00,APP,REJECTED_POSITION_SIZING,Risk budget or cash is too small for one share. | diagnostic=CASH_BELOW_ONE_SHARE,3b4a07758bb2dd3d90941c12f0ca4e69c521b14c4a56aa5a37085fe43fea59e8
2024-03-20T14:15:00-04:00,ACHR,FILLED,1 shares at 5.04378000,ddbdeda18c1898d7324add38aff6804b6433a2332e220a7e43c2c8c63d1b2c2f
2024-03-20T15:00:00-04:00,MU,STAGED,Next legitimate symbol 15-minute open.,928834a2c3f54add47096bbb43fd66edae78353be8a32149c33a780c6b32a28c
2024-03-20T15:00:00-04:00,BEKE,STAGED,Next legitimate symbol 15-minute open.,d0cdb57177698692a2fe61277b58df3e37ac5cea4e626fa2c3ab93959a28c69d
2024-03-20T15:15:00-04:00,MU,REJECTED_POSITION_SIZING,Risk budget or cash is too small for one share. | diagnostic=CASH_BELOW_ONE_SHARE,928834a2c3f54add47096bbb43fd66edae78353be8a32149c33a780c6b32a28c
2024-03-20T15:15:00-04:00,BEKE,REJECTED_POSITION_SIZING,Risk budget or cash is too small for one share. | diagnostic=CASH_BELOW_ONE_SHARE,d0cdb57177698692a2fe61277b58df3e37ac5cea4e626fa2c3ab93959a28c69d
2024-03-20T15:15:00-04:00,TNDM,STAGED,Next legitimate symbol 15-minute open.,908bee9504be98d883003e2bbddf23fb6ee99330c0f1e93f35917d926d33a5ba
2024-03-20T15:30:00-04:00,TNDM,REJECTED_POSITION_SIZING,Risk budget or cash is too small for one share. | diagnostic=CASH_BELOW_ONE_SHARE,908bee9504be98d883003e2bbddf23fb6ee99330c0f1e93f35917d926d33a5ba
2024-03-21T09:30:00-04:00,BEKE,STAGED,Next legitimate symbol 15-minute open.,0c9a7527b79807d2e87e6570c4f74c98c742e48bda02d6fcbb70a753fa97d700
2024-03-21T09:30:00-04:00,BTE,STAGED,Next legitimate symbol 15-minute open.,142f1bada8bd8a1792e3c585f283f4fe254f31e62877e5ce167feaa1da8a1612
2024-03-21T09:30:00-04:00,ALB,STAGED,Next legitimate symbol 15-minute open.,1e20314425e65fd3746d1588e9c0321fe14f51ab2fc435411f596512fa9d8014
2024-03-21T09:30:00-04:00,MVST,STAGED,Next legitimate symbol 15-minute open.,7586682cadc08b0db4e78db1143599c1c3c87f5dd93066197145e3d73f323047
2024-03-21T09:45:00-04:00,BEKE,FILLED,37 shares at 14.34074750,0c9a7527b79807d2e87e6570c4f74c98c742e48bda02d6fcbb70a753fa97d700
2024-03-21T09:45:00-04:00,BTE,FILLED,150 shares at 3.58268500,142f1bada8bd8a1792e3c585f283f4fe254f31e62877e5ce167feaa1da8a1612
2024-03-21T09:45:00-04:00,ALB,REJECTED_POSITION_SIZING,Risk budget or cash is too small for one share. | diagnostic=CASH_BELOW_ONE_SHARE,1e20314425e65fd3746d1588e9c0321fe14f51ab2fc435411f596512fa9d8014
2024-03-21T09:45:00-04:00,MVST,FILLED,125 shares at 0.75056250,7586682cadc08b0db4e78db1143599c1c3c87f5dd93066197145e3d73f323047
2024-03-21T11:15:00-04:00,EOSE,STAGED,Next legitimate symbol 15-minute open.,d1edff3029887fad481b1d1bd79082d3b43d90a7f66017ace9f815585ebdb7d8
2024-03-21T11:30:00-04:00,EOSE,FILLED,505 shares at 1.05078750,d1edff3029887fad481b1d1bd79082d3b43d90a7f66017ace9f815585ebdb7d8
2024-03-21T11:30:00-04:00,CCJ,STAGED,Next legitimate symbol 15-minute open.,06671f37d95116a1a91952a9df1e2e728e9c924e94c75302b3b98155ea0628b4
2024-03-21T11:45:00-04:00,CCJ,REJECTED_POSITION_SIZING,Risk budget or cash is too small for one share. | diagnostic=CASH_BELOW_ONE_SHARE,06671f37d95116a1a91952a9df1e2e728e9c924e94c75302b3b98155ea0628b4
2024-03-21T12:30:00-04:00,NXE,STAGED,Next legitimate symbol 15-minute open.,109d276f328fa022e5d53e21076c96e2c9043739a7028ed4a431ea3976447721
2024-03-21T12:45:00-04:00,NXE,FILLED,67 shares at 7.75080875,109d276f328fa022e5d53e21076c96e2c9043739a7028ed4a431ea3976447721
2024-03-21T14:00:00-04:00,CLOV,STAGED,Next legitimate symbol 15-minute open.,102ecf45816a4a60f3cf889e7918909984fae040495d7e2aedec6bbe0bf7d28f
2024-03-21T14:15:00-04:00,CLOV,FILLED,7 shares at 0.88636428,102ecf45816a4a60f3cf889e7918909984fae040495d7e2aedec6bbe0bf7d28f
2024-03-22T09:30:00-04:00,CCJ,STAGED,Next legitimate symbol 15-minute open.,6a4bd78391837c16225c2aeef1975df5a0f2016c781a6c8439415902bbd15584
2024-03-22T09:45:00-04:00,CCJ,FILLED,2 shares at 43.07228000,6a4bd78391837c16225c2aeef1975df5a0f2016c781a6c8439415902bbd15584
2024-03-22T09:45:00-04:00,GDS,STAGED,Next legitimate symbol 15-minute open.,e09d8ea3f183d0f4b445831fcffa77f21625083d96c0254b8d8fe95cdbad31c0
2024-03-22T10:00:00-04:00,GDS,FILLED,1 shares at 8.55841400,e09d8ea3f183d0f4b445831fcffa77f21625083d96c0254b8d8fe95cdbad31c0
2024-03-22T14:15:00-04:00,APP,STAGED,Next legitimate symbol 15-minute open.,019112c176b3e55f6e4e12c050c0f6a82b45793174b2e1af9f277ea2d0cf02ba
2024-03-22T14:30:00-04:00,APP,FILLED,1 shares at 71.59365500,019112c176b3e55f6e4e12c050c0f6a82b45793174b2e1af9f277ea2d0cf02ba
2024-03-22T15:15:00-04:00,BTE,STAGED,Next legitimate symbol 15-minute open.,dda1755edbb46210edc110dbed715ddcaa7e7fd8a23cc4668664791fc8746b96
2024-03-22T15:30:00-04:00,BTE,FILLED,148 shares at 3.48261000,dda1755edbb46210edc110dbed715ddcaa7e7fd8a23cc4668664791fc8746b96
2024-03-25T09:30:00-04:00,CCJ,STAGED,Next legitimate symbol 15-minute open.,0948c5f3a22850197983a1ed12ef888790b42b888af2a9eb4c411bc6231d8469
2024-03-25T09:30:00-04:00,BTE,STAGED,Next legitimate symbol 15-minute open.,59b3493157de8fe782e7fb2dca63cf1f0a033f4ef31387e626e605359c6053c4
2024-03-25T09:30:00-04:00,PLUG,STAGED,Next legitimate symbol 15-minute open.,bd15626c05b86f3742cab1e4fa47bc54421476135cb62325cbc10ff08488a168
2024-03-25T09:30:00-04:00,MVST,STAGED,Next legitimate symbol 15-minute open.,ec789a6b1b366f425d8ae27768f3c426f361e9acae19208463d7bf016b23bdac
2024-03-25T09:45:00-04:00,CCJ,FILLED,11 shares at 43.78281250,0948c5f3a22850197983a1ed12ef888790b42b888af2a9eb4c411bc6231d8469
2024-03-25T09:45:00-04:00,BTE,FILLED,38 shares at 3.56106880,59b3493157de8fe782e7fb2dca63cf1f0a033f4ef31387e626e605359c6053c4
2024-03-25T09:45:00-04:00,PLUG,REJECTED_POSITION_SIZING,Risk budget or cash is too small for one share. | diagnostic=CASH_BELOW_ONE_SHARE,bd15626c05b86f3742cab1e4fa47bc54421476135cb62325cbc10ff08488a168
2024-03-25T09:45:00-04:00,MVST,FILLED,3 shares at 0.74836085,ec789a6b1b366f425d8ae27768f3c426f361e9acae19208463d7bf016b23bdac
2024-03-25T09:45:00-04:00,APP,STAGED,Next legitimate symbol 15-minute open.,a814ff5eab59adb784eb29c1c06e99a84d5fe9f9e89f89d327f586bf85e294ee
2024-03-25T10:00:00-04:00,APP,FILLED,7 shares at 72.54436750,a814ff5eab59adb784eb29c1c06e99a84d5fe9f9e89f89d327f586bf85e294ee
2024-03-25T12:15:00-04:00,SGMT,STAGED,Next legitimate symbol 15-minute open.,8c36af94d8911268b2aea8d387f1f000306b656791757986f227b47352488197
2024-03-25T12:30:00-04:00,SGMT,FILLED,78 shares at 5.66424500,8c36af94d8911268b2aea8d387f1f000306b656791757986f227b47352488197
2024-03-25T12:45:00-04:00,SOFI,STAGED,Next legitimate symbol 15-minute open.,99001162ebab77fa711040783aa12908ab698e69d6d63c2099836b830e0f7ab1
2024-03-25T13:00:00-04:00,SOFI,FILLED,6 shares at 7.54555493,99001162ebab77fa711040783aa12908ab698e69d6d63c2099836b830e0f7ab1
2024-03-25T13:45:00-04:00,MRNA,STAGED,Next legitimate symbol 15-minute open.,1524c7e54a58fc543bdbc0f6595c3b0c0824382827863391144c0aa7d27705b3
2024-03-25T14:00:00-04:00,MRNA,REJECTED_POSITION_SIZING,Risk budget or cash is too small for one share. | diagnostic=CASH_BELOW_ONE_SHARE,1524c7e54a58fc543bdbc0f6595c3b0c0824382827863391144c0aa7d27705b3
2024-03-25T14:00:00-04:00,TSLA,STAGED,Next legitimate symbol 15-minute open.,d48fa6ceaaff7241af46dcf3e14f93d61c598b6442cae979b6753cdcc95f3bc0
2024-03-25T14:15:00-04:00,TSLA,REJECTED_POSITION_SIZING,Risk budget or cash is too small for one share. | diagnostic=CASH_BELOW_ONE_SHARE,d48fa6ceaaff7241af46dcf3e14f93d61c598b6442cae979b6753cdcc95f3bc0
2024-03-25T15:30:00-04:00,GME,STAGED,Next legitimate symbol 15-minute open.,3ce69eab4f12c772a11d39a2a2f969b9993c7b03da3e9b989b87cc37128eef49
2024-03-25T15:45:00-04:00,GME,FILLED,27 shares at 15.02125750,3ce69eab4f12c772a11d39a2a2f969b9993c7b03da3e9b989b87cc37128eef49
2024-03-26T09:30:00-04:00,MU,STAGED,Next legitimate symbol 15-minute open.,0440521463af06012d983cf68dab72b5a0f22de2a6e54cba1e74222b5c14d6b0
2024-03-26T09:30:00-04:00,BE,STAGED,Next legitimate symbol 15-minute open.,845490e0418f3b2d76d94f69ec2b43ac078c130b434f32e9ebf250ad006d9d54
2024-03-26T09:30:00-04:00,PLTR,STAGED,Next legitimate symbol 15-minute open.,bd434dd0d9f9a2b6afa033060668f189887aedda78f0bc09f42bb9991c0e6596
2024-03-26T09:45:00-04:00,MU,FILLED,3 shares at 121.04071250,0440521463af06012d983cf68dab72b5a0f22de2a6e54cba1e74222b5c14d6b0
2024-03-26T09:45:00-04:00,BE,FILLED,8 shares at 10.44783000,845490e0418f3b2d76d94f69ec2b43ac078c130b434f32e9ebf250ad006d9d54
2024-03-26T09:45:00-04:00,PLTR,REJECTED_POSITION_SIZING,Risk budget or cash is too small for one share. | diagnostic=CASH_BELOW_ONE_SHARE,bd434dd0d9f9a2b6afa033060668f189887aedda78f0bc09f42bb9991c0e6596
2024-03-26T10:00:00-04:00,AFRM,STAGED,Next legitimate symbol 15-minute open.,bace8c2c8cd31f1b48d1c9710bf6b69f46a203a196f47c13423fd7e0986a2102
2024-03-26T10:00:00-04:00,MVST,STAGED,Next legitimate symbol 15-minute open.,e4e5badb363a113145d347ecad6d22cb61e71ca3cfd43ec91a04b0d384c6e8a9
2024-03-26T10:15:00-04:00,AFRM,REJECTED_POSITION_SIZING,Risk budget or cash is too small for one share. | diagnostic=CASH_BELOW_ONE_SHARE,bace8c2c8cd31f1b48d1c9710bf6b69f46a203a196f47c13423fd7e0986a2102
2024-03-26T10:15:00-04:00,MVST,FILLED,10 shares at 0.80820570,e4e5badb363a113145d347ecad6d22cb61e71ca3cfd43ec91a04b0d384c6e8a9
2024-03-26T10:45:00-04:00,PLTR,STAGED,Next legitimate symbol 15-minute open.,ec29deeabd0d893368ae2a9bb12344837dbd724c039603adbe81b96d954218d9
2024-03-26T11:00:00-04:00,PLTR,REJECTED_POSITION_SIZING,Risk budget or cash is too small for one share. | diagnostic=CASH_BELOW_ONE_SHARE,ec29deeabd0d893368ae2a9bb12344837dbd724c039603adbe81b96d954218d9
2024-03-26T11:15:00-04:00,PLTR,STAGED,Next legitimate symbol 15-minute open.,5831cc0ce4d0629099c5f7aa469e9965862fe0f40b90d690697938ae3e77a40d
2024-03-26T11:30:00-04:00,PLTR,REJECTED_POSITION_SIZING,Risk budget or cash is too small for one share. | diagnostic=CASH_BELOW_ONE_SHARE,5831cc0ce4d0629099c5f7aa469e9965862fe0f40b90d690697938ae3e77a40d
2024-03-26T12:00:00-04:00,AFRM,STAGED,Next legitimate symbol 15-minute open.,dcdbf19a8dd17ce848bf7a688f7237131c82a93a841144afb38c9c66faa41297
2024-03-26T12:15:00-04:00,AFRM,FILLED,5 shares at 37.85837250,dcdbf19a8dd17ce848bf7a688f7237131c82a93a841144afb38c9c66faa41297
2024-03-26T15:45:00-04:00,GME,STAGED,Next legitimate symbol 15-minute open.,4461d5b5f66fb7c0ded03686fe6c4643c10f8de7a70c670dac1e0a2b6a62245e
2024-03-27T09:30:00-04:00,GME,REJECTED_OPENING_GAP,12.69121918 ATR,4461d5b5f66fb7c0ded03686fe6c4643c10f8de7a70c670dac1e0a2b6a62245e
2024-03-27T09:45:00-04:00,QS,STAGED,Next legitimate symbol 15-minute open.,624e8fc77f3aa6ea9f812128d6523f1e7c9405bf11c07ee360e586cbbe9946a4
2024-03-27T10:00:00-04:00,QS,FILLED,84 shares at 5.92944375,624e8fc77f3aa6ea9f812128d6523f1e7c9405bf11c07ee360e586cbbe9946a4
2024-03-27T11:00:00-04:00,PLUG,STAGED,Next legitimate symbol 15-minute open.,26ec8911347980bc05119d8e9bfc80fe89ed18e5ad5e1044976ba3ef41287ba0
2024-03-27T11:15:00-04:00,PLUG,FILLED,148 shares at 3.44258000,26ec8911347980bc05119d8e9bfc80fe89ed18e5ad5e1044976ba3ef41287ba0
2024-03-27T11:30:00-04:00,BTE,STAGED,Next legitimate symbol 15-minute open.,df938113994ae2d8105c54bafb5528a3b4c03c646f707bcb1f79ab34d26e43eb
2024-03-27T11:45:00-04:00,BTE,FILLED,147 shares at 3.48261000,df938113994ae2d8105c54bafb5528a3b4c03c646f707bcb1f79ab34d26e43eb
2024-03-27T12:30:00-04:00,TSLA,STAGED,Next legitimate symbol 15-minute open.,042e96d5fa781608a5e3ff18e9ad4b2bc9333d8ba3b5234c7d22d15152cd734d
2024-03-27T12:30:00-04:00,TSLL,STAGED,Next legitimate symbol 15-minute open.,0c33a8f9d92c7ecfdafb39ce66af9ab0c7bd0593df9606de06433ef2f194e3f0
2024-03-27T12:30:00-04:00,TSLT,STAGED,Next legitimate symbol 15-minute open.,26a11acc428427e6b3fcc5e768c7c092c4b8e24fdff4bdc5c5d8dd47762ddaf9
2024-03-27T12:45:00-04:00,TSLA,REJECTED_POSITION_SIZING,Risk budget or cash is too small for one share. | diagnostic=CASH_BELOW_ONE_SHARE,042e96d5fa781608a5e3ff18e9ad4b2bc9333d8ba3b5234c7d22d15152cd734d
2024-03-27T12:45:00-04:00,TSLL,FILLED,11 shares at 8.52639000,0c33a8f9d92c7ecfdafb39ce66af9ab0c7bd0593df9606de06433ef2f194e3f0
2024-03-27T12:45:00-04:00,TSLT,REJECTED_POSITION_SIZING,Risk budget or cash is too small for one share. | diagnostic=CASH_BELOW_ONE_SHARE,26a11acc428427e6b3fcc5e768c7c092c4b8e24fdff4bdc5c5d8dd47762ddaf9
2024-03-27T12:45:00-04:00,HIVE,STAGED,Next legitimate symbol 15-minute open.,81a06c2e21452fcd55d8e51e8f9845ad625c92c70606777e1887797e932cf557
2024-03-27T13:00:00-04:00,HIVE,FILLED,1 shares at 3.23242250,81a06c2e21452fcd55d8e51e8f9845ad625c92c70606777e1887797e932cf557
2024-03-27T13:45:00-04:00,TNDM,STAGED,Next legitimate symbol 15-minute open.,355ecbd019849968e099542ad5698a392ce92bc33fa44528c904aed125a0d13c
2024-03-27T14:00:00-04:00,TNDM,REJECTED_POSITION_SIZING,Risk budget or cash is too small for one share. | diagnostic=CASH_BELOW_ONE_SHARE,355ecbd019849968e099542ad5698a392ce92bc33fa44528c904aed125a0d13c
2024-03-27T14:00:00-04:00,ADMA,STAGED,Next legitimate symbol 15-minute open.,095169c26213011f88bea0c01864f0a0436cbd2ef379584fe33db087e2d049ee
2024-03-27T14:15:00-04:00,ADMA,REJECTED_POSITION_SIZING,Risk budget or cash is too small for one share. | diagnostic=CASH_BELOW_ONE_SHARE,095169c26213011f88bea0c01864f0a0436cbd2ef379584fe33db087e2d049ee
2024-03-27T14:45:00-04:00,NXE,STAGED,Next legitimate symbol 15-minute open.,a2d7d25bf9fc0ee25c150c0ce01040c595a8053b25f6abb0638a39abcf4b15b5
2024-03-27T15:00:00-04:00,NXE,REJECTED_POSITION_SIZING,Risk budget or cash is too small for one share. | diagnostic=CASH_BELOW_ONE_SHARE,a2d7d25bf9fc0ee25c150c0ce01040c595a8053b25f6abb0638a39abcf4b15b5
2024-03-27T15:15:00-04:00,INTC,STAGED,Next legitimate symbol 15-minute open.,4a10bda5faadf2d4d402b3f861ecc3bacaf2dbc186cb74e6ca76553c91d5735b
